Item_ID,Item_Name,Category,Date,Last_Month_Sales,Capacity,Last_Year_Sales,Weather,Predicted_Sales,City_Tier,On_promotion,Outlet
7,Cream,Dairy,25-04-2023,117,955,5845,Windy,96,2,0,2
18,Nuts,Snacks,25-04-2023,200,956,4845,Snowy,198,2,1,3
18,Nuts,Snacks,25-04-2023,274,430,5709,Sunny,274,2,0,2
15,Laundry Detergent,Household Items,25-04-2023,484,532,3689,Windy,438,1,1,3
32,Yogurt,Dairy,25-04-2023,258,578,4662,Snowy,262,2,1,3
22,Salad,Fresh Food,25-04-2023,228,966,5264,Windy,273,2,0,1
9,Dish Soap,Household Items,25-04-2023,181,263,3029,Windy,172,3,1,3
8,Deodorant,Personal Care,25-04-2023,300,649,3427,Sunny,288,3,0,1
29,Toilet Paper,Household Items,25-04-2023,402,415,2759,Snowy,415,3,1,3
25,Soap,Personal Care,25-04-2023,194,959,2257,Sunny,195,2,1,3
23,Sandwich,Fresh Food,25-04-2023,343,620,2001,Rainy,300,1,1,1
3,Candy Bar,Snacks,25-04-2023,271,851,4794,Windy,275,3,0,1
24,Shampoo,Personal Care,25-04-2023,426,411,4860,Windy,392,2,1,3
15,Laundry Detergent,Household Items,25-04-2023,474,730,3890,Windy,476,1,1,2
29,Toilet Paper,Household Items,25-04-2023,312,530,4911,Windy,321,3,0,1
27,Sour Cream,Dairy,25-04-2023,484,664,3620,Snowy,463,1,1,2
25,Soap,Personal Care,25-04-2023,358,694,5020,Sunny,371,2,1,2
7,Cream,Dairy,25-04-2023,103,422,5845,Cloudy,108,2,0,2
29,Toilet Paper,Household Items,25-04-2023,394,736,2812,Sunny,431,3,0,1
7,Cream,Dairy,25-04-2023,205,395,5845,Windy,190,2,0,2
30,Toothpaste,Personal Care,25-04-2023,418,793,4831,Cloudy,474,2,1,1
30,Toothpaste,Personal Care,25-04-2023,328,771,3044,Windy,292,2,1,2
22,Salad,Fresh Food,25-04-2023,130,379,2823,Rainy,122,3,0,3
27,Sour Cream,Dairy,25-04-2023,419,333,5077,Windy,386,3,0,3
23,Sandwich,Fresh Food,26-04-2023,225,699,3936,Rainy,198,2,1,1
18,Nuts,Snacks,26-04-2023,343,893,2283,Snowy,321,1,0,3
1,Butter,Dairy,26-04-2023,336,765,5776,Snowy,326,1,0,3
23,Sandwich,Fresh Food,26-04-2023,335,476,4600,Rainy,256,3,1,2
10,Energy Drink,Beverages,26-04-2023,116,384,5462,Cloudy,115,2,0,1
25,Soap,Personal Care,26-04-2023,150,754,3763,Sunny,162,3,1,2
8,Deodorant,Personal Care,26-04-2023,418,558,5588,Snowy,412,3,0,2
31,Water,Beverages,26-04-2023,239,222,4948,Windy,207,1,1,2
26,Soda,Beverages,26-04-2023,443,895,3041,Rainy,444,1,0,2
23,Sandwich,Fresh Food,26-04-2023,161,941,3105,Windy,151,3,1,2
15,Laundry Detergent,Household Items,26-04-2023,117,420,5914,Windy,129,3,0,2
19,Paper Towels,Household Items,26-04-2023,469,871,2800,Cloudy,459,1,1,2
14,Juice,Beverages,26-04-2023,419,242,5275,Snowy,493,2,0,1
6,Coffee,Beverages,26-04-2023,250,361,5679,Windy,253,3,1,3
19,Paper Towels,Household Items,26-04-2023,368,478,4296,Windy,356,2,1,2
32,Yogurt,Dairy,26-04-2023,478,529,3690,Snowy,493,2,1,2
13,Ice Cream,Dairy,26-04-2023,403,813,5471,Cloudy,318,1,1,2
21,Pretzels,Snacks,26-04-2023,415,585,4139,Cloudy,412,2,1,2
23,Sandwich,Fresh Food,26-04-2023,182,911,5045,Rainy,184,2,1,2
18,Nuts,Snacks,26-04-2023,449,502,2417,Windy,393,1,0,2
5,Chips,Snacks,26-04-2023,394,238,2186,Windy,443,1,1,3
24,Shampoo,Personal Care,26-04-2023,279,509,2418,Rainy,257,1,1,3
25,Soap,Personal Care,26-04-2023,440,357,2659,Snowy,498,1,1,2
14,Juice,Beverages,26-04-2023,101,619,3026,Snowy,90,3,0,3
24,Shampoo,Personal Care,26-04-2023,129,524,3943,Cloudy,128,3,1,1
18,Nuts,Snacks,26-04-2023,129,913,2995,Sunny,113,1,1,2
10,Energy Drink,Beverages,26-04-2023,311,838,2137,Snowy,265,3,0,1
24,Shampoo,Personal Care,26-04-2023,173,843,3687,Sunny,196,1,1,1
23,Sandwich,Fresh Food,26-04-2023,352,219,2761,Snowy,339,1,0,2
25,Soap,Personal Care,26-04-2023,460,741,3142,Rainy,449,2,0,3
10,Energy Drink,Beverages,26-04-2023,232,822,4759,Windy,238,1,1,1
5,Chips,Snacks,26-04-2023,349,662,4661,Windy,364,2,1,2
27,Sour Cream,Dairy,26-04-2023,476,264,5994,Snowy,549,2,0,1
3,Candy Bar,Snacks,26-04-2023,216,299,4794,Sunny,202,1,0,1
17,Milk,Dairy,26-04-2023,424,660,9760,Cloudy,449,1,1,1
18,Nuts,Snacks,26-04-2023,402,775,5813,Windy,376,2,0,1
10,Energy Drink,Beverages,26-04-2023,286,739,4468,Cloudy,274,1,1,3
11,Fruit Cup,Fresh Food,26-04-2023,396,821,5802,Windy,313,2,1,1
9,Dish Soap,Household Items,26-04-2023,488,548,5819,Cloudy,508,2,1,1
11,Fruit Cup,Fresh Food,26-04-2023,233,524,5017,Sunny,211,1,1,1
4,Cheese,Dairy,26-04-2023,125,756,7587,Rainy,142,1,0,3
3,Candy Bar,Snacks,26-04-2023,162,823,4794,Cloudy,151,2,0,1
3,Candy Bar,Snacks,26-04-2023,475,895,4794,Sunny,533,1,1,1
7,Cream,Dairy,26-04-2023,268,994,5845,Snowy,255,1,0,3
8,Deodorant,Personal Care,26-04-2023,171,216,3157,Windy,187,1,1,3
19,Paper Towels,Household Items,26-04-2023,321,230,2003,Cloudy,347,2,1,3
32,Yogurt,Dairy,26-04-2023,361,310,2597,Rainy,368,1,1,1
3,Candy Bar,Snacks,26-04-2023,250,666,4794,Sunny,213,2,0,3
30,Toothpaste,Personal Care,26-04-2023,188,239,3283,Snowy,176,2,0,3
9,Dish Soap,Household Items,26-04-2023,258,711,3337,Cloudy,246,2,0,1
1,Butter,Dairy,26-04-2023,314,525,5776,Cloudy,299,1,1,3
32,Yogurt,Dairy,26-04-2023,106,894,5036,Cloudy,101,1,1,1
18,Nuts,Snacks,26-04-2023,297,806,5105,Sunny,303,2,1,2
21,Pretzels,Snacks,27-04-2023,167,975,4561,Snowy,187,1,0,3
11,Fruit Cup,Fresh Food,27-04-2023,377,707,4778,Cloudy,345,3,0,2
1,Butter,Dairy,27-04-2023,333,946,5776,Sunny,291,3,1,1
32,Yogurt,Dairy,27-04-2023,425,848,4836,Sunny,494,1,1,3
32,Yogurt,Dairy,27-04-2023,168,423,2123,Snowy,185,3,0,1
23,Sandwich,Fresh Food,27-04-2023,318,857,3833,Cloudy,337,1,1,2
30,Toothpaste,Personal Care,27-04-2023,287,363,4826,Windy,277,3,0,1
12,Garbage Bags,Household Items,27-04-2023,316,880,2660,Snowy,342,1,1,3
2,Buttermilk,Dairy,27-04-2023,367,211,4263,Windy,434,1,1,3
15,Laundry Detergent,Household Items,27-04-2023,171,727,3573,Snowy,155,2,1,2
4,Cheese,Dairy,27-04-2023,375,953,7587,Rainy,446,1,0,1
12,Garbage Bags,Household Items,27-04-2023,308,212,5960,Windy,274,1,1,3
13,Ice Cream,Dairy,27-04-2023,456,618,5006,Windy,470,1,0,2
29,Toilet Paper,Household Items,27-04-2023,234,962,3360,Windy,195,2,0,3
10,Energy Drink,Beverages,27-04-2023,365,253,5920,Snowy,372,2,0,3
20,Popcorn,Snacks,27-04-2023,381,846,3439,Rainy,349,2,0,1
15,Laundry Detergent,Household Items,27-04-2023,305,336,4455,Cloudy,285,1,0,3
13,Ice Cream,Dairy,27-04-2023,418,373,3782,Snowy,413,2,0,1
10,Energy Drink,Beverages,27-04-2023,168,851,2521,Windy,157,3,1,3
24,Shampoo,Personal Care,27-04-2023,333,980,3060,Rainy,315,2,0,2
29,Toilet Paper,Household Items,27-04-2023,490,518,4164,Snowy,451,2,1,3
18,Nuts,Snacks,27-04-2023,485,905,3776,Cloudy,414,1,1,1
25,Soap,Personal Care,27-04-2023,330,669,5611,Rainy,306,1,0,1
31,Water,Beverages,27-04-2023,272,807,4325,Windy,277,2,0,2
32,Yogurt,Dairy,27-04-2023,284,274,2053,Rainy,300,3,0,3
21,Pretzels,Snacks,27-04-2023,489,421,3399,Cloudy,382,2,1,3
5,Chips,Snacks,27-04-2023,415,760,2335,Windy,377,1,1,2
21,Pretzels,Snacks,27-04-2023,292,564,5441,Snowy,257,2,1,3
21,Pretzels,Snacks,27-04-2023,436,683,4371,Snowy,415,3,0,3
3,Candy Bar,Snacks,27-04-2023,337,369,4794,Snowy,355,3,1,1
21,Pretzels,Snacks,27-04-2023,247,905,4173,Sunny,266,1,0,3
24,Shampoo,Personal Care,27-04-2023,225,216,2109,Rainy,247,2,1,3
2,Buttermilk,Dairy,27-04-2023,491,791,4263,Snowy,508,3,0,2
8,Deodorant,Personal Care,27-04-2023,275,586,5118,Windy,244,3,1,2
32,Yogurt,Dairy,27-04-2023,407,857,3414,Rainy,389,1,0,1
11,Fruit Cup,Fresh Food,27-04-2023,237,823,4289,Sunny,182,2,0,3
8,Deodorant,Personal Care,27-04-2023,269,325,4586,Windy,307,3,0,3
30,Toothpaste,Personal Care,27-04-2023,481,275,3306,Snowy,483,3,0,3
1,Butter,Dairy,27-04-2023,133,431,5776,Sunny,139,2,0,1
29,Toilet Paper,Household Items,27-04-2023,471,681,5155,Sunny,497,2,0,1
5,Chips,Snacks,27-04-2023,244,581,2673,Sunny,242,3,1,2
8,Deodorant,Personal Care,27-04-2023,438,589,4477,Windy,431,1,1,1
32,Yogurt,Dairy,27-04-2023,476,243,3744,Sunny,482,3,0,3
20,Popcorn,Snacks,27-04-2023,337,929,5919,Rainy,334,2,1,3
9,Dish Soap,Household Items,27-04-2023,275,421,3550,Cloudy,275,2,1,1
26,Soda,Beverages,27-04-2023,427,308,2380,Windy,465,3,1,3
10,Energy Drink,Beverages,27-04-2023,184,509,4386,Rainy,182,2,0,3
24,Shampoo,Personal Care,27-04-2023,390,425,2361,Snowy,426,2,0,1
3,Candy Bar,Snacks,27-04-2023,260,447,4794,Snowy,265,1,1,1
16,Lotion,Personal Care,27-04-2023,353,701,5850,Sunny,368,1,1,3
28,Sushi,Fresh Food,28-04-2023,207,649,2310,Sunny,212,2,0,3
19,Paper Towels,Household Items,28-04-2023,174,336,2601,Windy,168,1,0,3
26,Soda,Beverages,28-04-2023,455,607,3212,Rainy,502,1,0,2
17,Milk,Dairy,28-04-2023,187,864,9760,Windy,177,2,1,2
3,Candy Bar,Snacks,28-04-2023,398,475,4794,Rainy,369,2,1,2
17,Milk,Dairy,28-04-2023,264,626,9760,Rainy,269,3,0,1
28,Sushi,Fresh Food,28-04-2023,400,577,3198,Windy,424,2,0,2
15,Laundry Detergent,Household Items,28-04-2023,409,876,4752,Sunny,400,3,1,1
9,Dish Soap,Household Items,28-04-2023,421,741,3518,Snowy,416,3,0,1
8,Deodorant,Personal Care,28-04-2023,401,484,2226,Cloudy,421,1,0,2
24,Shampoo,Personal Care,28-04-2023,141,996,4788,Snowy,132,3,0,2
26,Soda,Beverages,28-04-2023,186,807,2798,Sunny,182,3,1,2
5,Chips,Snacks,28-04-2023,110,547,4957,Windy,109,3,0,3
22,Salad,Fresh Food,28-04-2023,199,616,3498,Sunny,194,1,1,2
5,Chips,Snacks,28-04-2023,440,512,2162,Sunny,415,1,1,3
32,Yogurt,Dairy,28-04-2023,358,239,2275,Sunny,344,3,0,1
10,Energy Drink,Beverages,28-04-2023,430,890,5412,Rainy,500,1,0,3
3,Candy Bar,Snacks,28-04-2023,268,747,4794,Snowy,239,1,0,2
9,Dish Soap,Household Items,28-04-2023,116,503,4537,Snowy,112,1,1,1
28,Sushi,Fresh Food,28-04-2023,403,279,2209,Cloudy,397,1,0,1
30,Toothpaste,Personal Care,28-04-2023,134,452,2474,Cloudy,139,3,0,1
7,Cream,Dairy,28-04-2023,435,479,5845,Cloudy,406,1,1,3
3,Candy Bar,Snacks,28-04-2023,274,829,4794,Rainy,225,3,0,2
17,Milk,Dairy,28-04-2023,190,755,9760,Sunny,185,2,1,1
23,Sandwich,Fresh Food,28-04-2023,419,964,3288,Rainy,390,2,1,1
4,Cheese,Dairy,28-04-2023,268,291,7587,Rainy,287,2,0,1
11,Fruit Cup,Fresh Food,28-04-2023,179,491,4979,Snowy,195,2,1,3
6,Coffee,Beverages,28-04-2023,104,405,4516,Rainy,96,3,1,3
24,Shampoo,Personal Care,28-04-2023,177,574,3286,Cloudy,188,1,0,2
16,Lotion,Personal Care,28-04-2023,459,723,2902,Cloudy,483,2,1,3
16,Lotion,Personal Care,28-04-2023,254,979,4472,Rainy,262,2,0,1
11,Fruit Cup,Fresh Food,28-04-2023,221,707,5760,Windy,210,3,1,2
10,Energy Drink,Beverages,28-04-2023,451,706,2275,Rainy,345,3,0,1
26,Soda,Beverages,28-04-2023,478,664,2107,Cloudy,450,3,1,1
24,Shampoo,Personal Care,28-04-2023,415,560,4236,Rainy,489,3,1,3
16,Lotion,Personal Care,28-04-2023,172,364,5209,Snowy,176,1,0,2
19,Paper Towels,Household Items,28-04-2023,425,922,4807,Rainy,487,3,0,3
30,Toothpaste,Personal Care,28-04-2023,220,475,3823,Cloudy,248,3,0,3
5,Chips,Snacks,28-04-2023,408,828,3226,Windy,472,3,1,2
23,Sandwich,Fresh Food,28-04-2023,160,373,2292,Cloudy,180,1,0,1
19,Paper Towels,Household Items,28-04-2023,254,773,3125,Sunny,237,1,0,1
4,Cheese,Dairy,28-04-2023,142,365,7587,Snowy,149,3,0,2
19,Paper Towels,Household Items,28-04-2023,475,382,3291,Windy,481,2,0,1
26,Soda,Beverages,28-04-2023,315,979,4992,Cloudy,282,3,1,2
28,Sushi,Fresh Food,28-04-2023,267,564,4113,Snowy,273,3,0,2
10,Energy Drink,Beverages,28-04-2023,262,945,3973,Snowy,226,2,1,3
18,Nuts,Snacks,28-04-2023,412,451,5750,Windy,388,1,0,2
21,Pretzels,Snacks,28-04-2023,239,757,4408,Snowy,232,2,1,3
14,Juice,Beverages,28-04-2023,285,592,5986,Rainy,280,2,0,1
16,Lotion,Personal Care,28-04-2023,129,852,5174,Rainy,141,3,1,1
20,Popcorn,Snacks,28-04-2023,235,671,3447,Sunny,225,1,1,1
18,Nuts,Snacks,28-04-2023,303,997,2195,Cloudy,223,3,0,1
23,Sandwich,Fresh Food,28-04-2023,459,357,3614,Cloudy,540,3,1,3
10,Energy Drink,Beverages,28-04-2023,121,380,3284,Cloudy,127,2,1,1
29,Toilet Paper,Household Items,29-04-2023,231,990,2873,Snowy,252,3,1,2
27,Sour Cream,Dairy,29-04-2023,287,469,3630,Windy,289,3,1,2
1,Butter,Dairy,29-04-2023,336,815,5776,Cloudy,376,1,1,2
18,Nuts,Snacks,29-04-2023,332,553,3004,Snowy,347,3,0,3
25,Soap,Personal Care,29-04-2023,184,202,3051,Windy,209,3,0,1
22,Salad,Fresh Food,29-04-2023,248,798,3439,Rainy,240,3,0,1
25,Soap,Personal Care,29-04-2023,230,469,3963,Cloudy,237,2,1,1
8,Deodorant,Personal Care,29-04-2023,133,570,4498,Windy,133,1,1,3
28,Sushi,Fresh Food,29-04-2023,425,789,2066,Cloudy,508,2,1,2
24,Shampoo,Personal Care,29-04-2023,229,738,3537,Sunny,231,3,0,2
22,Salad,Fresh Food,29-04-2023,300,330,5705,Rainy,300,2,1,1
29,Toilet Paper,Household Items,29-04-2023,137,300,3313,Rainy,144,2,0,2
26,Soda,Beverages,29-04-2023,409,629,3541,Snowy,407,1,0,2
6,Coffee,Beverages,29-04-2023,103,662,4192,Snowy,96,2,1,3
19,Paper Towels,Household Items,29-04-2023,166,859,3517,Sunny,181,1,0,3
26,Soda,Beverages,29-04-2023,417,411,5234,Snowy,412,1,1,3
16,Lotion,Personal Care,29-04-2023,271,283,5032,Cloudy,280,2,0,3
10,Energy Drink,Beverages,29-04-2023,342,527,4017,Rainy,366,1,0,1
23,Sandwich,Fresh Food,29-04-2023,412,368,4846,Snowy,392,2,0,3
1,Butter,Dairy,29-04-2023,104,463,5776,Cloudy,106,1,1,2
16,Lotion,Personal Care,29-04-2023,233,598,5214,Rainy,260,1,1,1
26,Soda,Beverages,29-04-2023,442,352,2735,Rainy,422,2,0,2
18,Nuts,Snacks,29-04-2023,443,962,4006,Sunny,431,3,0,2
31,Water,Beverages,29-04-2023,312,253,2246,Snowy,328,3,0,2
4,Cheese,Dairy,29-04-2023,323,914,7587,Sunny,313,2,0,3
30,Toothpaste,Personal Care,29-04-2023,399,653,4686,Windy,433,3,1,3
31,Water,Beverages,29-04-2023,411,237,4328,Cloudy,493,3,0,1
22,Salad,Fresh Food,29-04-2023,190,730,3478,Snowy,177,2,1,1
14,Juice,Beverages,29-04-2023,332,648,2585,Rainy,394,2,0,3
25,Soap,Personal Care,29-04-2023,256,905,3349,Rainy,262,3,0,2
27,Sour Cream,Dairy,29-04-2023,333,882,3426,Rainy,348,3,1,1
20,Popcorn,Snacks,29-04-2023,488,551,5121,Rainy,467,1,1,3
4,Cheese,Dairy,29-04-2023,402,358,7587,Rainy,453,1,0,3
30,Toothpaste,Personal Care,29-04-2023,446,564,5172,Snowy,442,1,1,3
8,Deodorant,Personal Care,29-04-2023,278,569,5319,Snowy,256,1,0,2
23,Sandwich,Fresh Food,29-04-2023,486,744,2903,Snowy,474,2,0,3
9,Dish Soap,Household Items,29-04-2023,395,845,4204,Snowy,482,3,1,3
20,Popcorn,Snacks,29-04-2023,342,921,4554,Rainy,395,1,1,3
24,Shampoo,Personal Care,29-04-2023,308,371,3929,Snowy,279,1,1,3
12,Garbage Bags,Household Items,29-04-2023,338,816,4330,Windy,309,3,1,1
30,Toothpaste,Personal Care,29-04-2023,437,696,3367,Windy,393,3,0,1
22,Salad,Fresh Food,29-04-2023,471,932,2485,Sunny,420,2,1,3
8,Deodorant,Personal Care,29-04-2023,474,786,2358,Snowy,483,3,1,2
12,Garbage Bags,Household Items,30-04-2023,478,505,2267,Sunny,483,2,1,1
8,Deodorant,Personal Care,30-04-2023,438,578,2077,Snowy,458,2,1,3
2,Buttermilk,Dairy,30-04-2023,485,412,4263,Cloudy,447,1,1,1
13,Ice Cream,Dairy,30-04-2023,350,589,3203,Sunny,279,1,0,1
26,Soda,Beverages,30-04-2023,193,630,3138,Rainy,207,1,1,2
20,Popcorn,Snacks,30-04-2023,209,207,5140,Cloudy,178,2,1,3
8,Deodorant,Personal Care,30-04-2023,242,261,3265,Rainy,228,1,0,3
15,Laundry Detergent,Household Items,30-04-2023,471,383,5348,Cloudy,519,3,1,2
29,Toilet Paper,Household Items,30-04-2023,374,323,2085,Windy,408,3,0,2
32,Yogurt,Dairy,30-04-2023,219,308,5486,Cloudy,233,3,0,3
8,Deodorant,Personal Care,30-04-2023,475,488,5580,Windy,461,1,0,3
5,Chips,Snacks,30-04-2023,494,424,5814,Rainy,509,1,1,2
21,Pretzels,Snacks,30-04-2023,203,991,5213,Sunny,217,1,1,1
10,Energy Drink,Beverages,30-04-2023,137,696,4220,Rainy,125,3,1,1
6,Coffee,Beverages,30-04-2023,172,934,4561,Sunny,182,1,1,2
32,Yogurt,Dairy,30-04-2023,323,766,5719,Sunny,370,1,1,1
32,Yogurt,Dairy,30-04-2023,197,858,4347,Windy,200,2,0,2
24,Shampoo,Personal Care,30-04-2023,345,269,2480,Windy,337,2,1,1
3,Candy Bar,Snacks,30-04-2023,102,919,4794,Cloudy,103,1,0,1
5,Chips,Snacks,30-04-2023,188,799,4871,Snowy,219,3,1,3
19,Paper Towels,Household Items,30-04-2023,271,669,4818,Windy,247,1,1,3
14,Juice,Beverages,30-04-2023,225,666,4301,Snowy,263,3,0,1
2,Buttermilk,Dairy,30-04-2023,441,957,4263,Cloudy,443,3,0,1
25,Soap,Personal Care,30-04-2023,276,605,4161,Cloudy,265,2,1,3
17,Milk,Dairy,30-04-2023,437,262,9760,Sunny,462,3,1,3
32,Yogurt,Dairy,30-04-2023,158,266,4302,Windy,179,1,0,3
15,Laundry Detergent,Household Items,30-04-2023,342,738,2662,Snowy,302,2,0,2
31,Water,Beverages,30-04-2023,392,479,5163,Windy,470,2,0,1
32,Yogurt,Dairy,30-04-2023,420,326,2899,Cloudy,410,3,0,3
27,Sour Cream,Dairy,30-04-2023,197,997,4633,Cloudy,181,1,0,1
28,Sushi,Fresh Food,30-04-2023,373,330,5830,Windy,398,2,0,2
3,Candy Bar,Snacks,30-04-2023,159,301,4794,Sunny,160,2,1,2
10,Energy Drink,Beverages,30-04-2023,281,933,3403,Rainy,242,2,1,3
32,Yogurt,Dairy,30-04-2023,281,811,2991,Windy,274,3,1,2
15,Laundry Detergent,Household Items,30-04-2023,123,546,3469,Snowy,132,3,0,1
26,Soda,Beverages,30-04-2023,289,214,4570,Sunny,315,3,0,3
12,Garbage Bags,Household Items,30-04-2023,145,389,3787,Windy,148,1,1,1
15,Laundry Detergent,Household Items,30-04-2023,359,334,5714,Sunny,354,1,1,1
20,Popcorn,Snacks,30-04-2023,228,625,5719,Rainy,233,1,0,2
11,Fruit Cup,Fresh Food,30-04-2023,230,400,2473,Windy,236,1,1,2
23,Sandwich,Fresh Food,30-04-2023,287,513,3706,Sunny,307,2,0,2
16,Lotion,Personal Care,30-04-2023,345,460,4096,Windy,352,1,1,2
17,Milk,Dairy,30-04-2023,324,306,9760,Windy,348,2,0,2
4,Cheese,Dairy,30-04-2023,496,289,7587,Rainy,400,1,0,3
9,Dish Soap,Household Items,30-04-2023,413,879,2301,Rainy,469,1,0,1
26,Soda,Beverages,01-05-2023,143,252,5657,Windy,145,1,1,1
8,Deodorant,Personal Care,01-05-2023,210,345,2892,Rainy,178,3,0,1
16,Lotion,Personal Care,01-05-2023,331,206,5875,Rainy,285,3,1,1
28,Sushi,Fresh Food,01-05-2023,427,544,4782,Sunny,459,1,0,2
10,Energy Drink,Beverages,01-05-2023,474,603,4928,Cloudy,470,3,1,1
18,Nuts,Snacks,01-05-2023,231,430,2394,Cloudy,241,2,0,3
12,Garbage Bags,Household Items,01-05-2023,161,345,4093,Sunny,148,2,1,3
10,Energy Drink,Beverages,01-05-2023,461,679,2110,Windy,450,1,1,1
6,Coffee,Beverages,01-05-2023,425,943,2910,Snowy,463,2,0,1
25,Soap,Personal Care,01-05-2023,115,790,2524,Windy,131,1,1,3
9,Dish Soap,Household Items,01-05-2023,112,639,3358,Snowy,121,1,1,3
18,Nuts,Snacks,01-05-2023,110,984,2410,Snowy,81,3,0,2
26,Soda,Beverages,01-05-2023,458,999,3025,Snowy,429,3,1,3
10,Energy Drink,Beverages,01-05-2023,349,538,5676,Rainy,338,1,1,2
19,Paper Towels,Household Items,01-05-2023,366,832,5383,Windy,344,3,0,2
14,Juice,Beverages,01-05-2023,268,625,5964,Sunny,257,2,0,2
4,Cheese,Dairy,01-05-2023,323,549,7587,Rainy,272,2,0,2
18,Nuts,Snacks,01-05-2023,292,746,2783,Sunny,289,2,0,2
23,Sandwich,Fresh Food,01-05-2023,129,644,3341,Sunny,113,2,1,1
7,Cream,Dairy,01-05-2023,149,981,5845,Cloudy,148,3,0,3
26,Soda,Beverages,01-05-2023,285,420,4128,Sunny,274,1,0,2
4,Cheese,Dairy,01-05-2023,494,323,7587,Snowy,527,3,1,3
2,Buttermilk,Dairy,01-05-2023,278,407,4263,Windy,304,2,1,3
23,Sandwich,Fresh Food,01-05-2023,215,867,2593,Cloudy,205,1,0,2
11,Fruit Cup,Fresh Food,01-05-2023,403,718,2926,Snowy,412,3,0,1
12,Garbage Bags,Household Items,01-05-2023,478,689,2809,Rainy,487,2,1,2
1,Butter,Dairy,01-05-2023,489,221,5776,Cloudy,451,3,1,1
6,Coffee,Beverages,01-05-2023,453,776,5798,Cloudy,455,1,0,3
12,Garbage Bags,Household Items,01-05-2023,406,950,3438,Rainy,339,1,1,1
10,Energy Drink,Beverages,01-05-2023,253,941,3120,Windy,256,1,1,1
32,Yogurt,Dairy,01-05-2023,341,483,4727,Sunny,299,1,1,1
32,Yogurt,Dairy,01-05-2023,492,484,3186,Sunny,531,2,0,3
25,Soap,Personal Care,01-05-2023,406,937,4388,Sunny,409,2,1,3
11,Fruit Cup,Fresh Food,01-05-2023,172,506,2848,Windy,195,3,0,1
14,Juice,Beverages,01-05-2023,301,663,4516,Sunny,280,3,1,1
3,Candy Bar,Snacks,01-05-2023,470,648,4794,Snowy,483,1,1,2
12,Garbage Bags,Household Items,01-05-2023,434,992,3873,Rainy,429,2,1,1
29,Toilet Paper,Household Items,01-05-2023,152,809,5271,Rainy,141,2,1,2
9,Dish Soap,Household Items,01-05-2023,337,484,3258,Cloudy,288,2,0,1
5,Chips,Snacks,01-05-2023,202,950,2623,Windy,217,3,1,2
11,Fruit Cup,Fresh Food,01-05-2023,371,845,4842,Cloudy,396,3,1,3
13,Ice Cream,Dairy,01-05-2023,427,224,2680,Cloudy,457,1,0,1
