Item_ID,Item_Name,Category,Date,Last_Month_Sales,Capacity,Last_Year_Sales,Temperature,Weather,Predicted_Sales,City_Tier,On_promotion,Outlet
1,Lassi,Dairy,10-06-2023,71,99,1068,32,Autumn,70,2,0,3
3,Kiwi,Fruits,20-05-2023,79,99,1084,41,Autumn,77,2,1,2
2,Butter Milk,Dairy,20-05-2023,92,99,1071,39,Winter,68,3,0,3
5,Pomegranate,Fruits,16-05-2023,69,109,1065,44,Rainy,76,3,0,2
4,Flavored Yogurt,Dairy,14-05-2023,72,109,1069,40,Sunny,73,1,0,1
1,Lassi,Dairy,09-05-2023,71,99,1068,44,Sunny,69,3,1,2
1,Lassi,Dairy,05-05-2023,71,99,1068,43,Winter,69,2,0,2
1,Lassi,Dairy,05-05-2023,71,99,1068,43,Winter,68,1,1,2
1,Lassi,Dairy,02-04-2023,82,109,1077,36,Autumn,80,2,1,3
1,Lassi,Dairy,02-04-2023,82,99,1068,43,Autumn,69,2,0,2
6,Dragon Fruit,Fruits,24-03-2023,79,99,1083,39,Autumn,80,2,1,2
4,Flavored Yogurt,Dairy,20-03-2023,70,109,1084,45,Rainy,75,1,1,3
6,Dragon Fruit,Fruits,11-03-2023,78,109,1077,44,Sunny,69,1,0,1
2,Butter Milk,Dairy,07-03-2023,76,99,1074,38,Autumn,61,3,0,1
2,Butter Milk,Dairy,11-02-2023,77,99,1055,45,Winter,82,3,1,2
6,Dragon Fruit,Fruits,29-01-2023,82,109,1069,27,Winter,46,2,0,3
6,Dragon Fruit,Fruits,25-01-2023,81,109,1081,35,Winter,68,3,0,2
4,Flavored Yogurt,Dairy,20-12-2022,71,99,1069,40,Sunny,60,3,0,1
6,Dragon Fruit,Fruits,14-12-2022,84,109,1082,51,Rainy,76,3,0,1
6,Dragon Fruit,Fruits,09-12-2022,71,109,1066,41,Winter,84,2,0,1
7,Kefir,Dairy,05-12-2022,63,51,1072,40,Winter,71,1,0,1
1,Lassi,Dairy,04-12-2022,71,99,1068,35,Winter,69,2,1,3
4,Flavored Yogurt,Dairy,02-12-2022,58,99,1082,36,Rainy,82,1,0,1
7,Kefir,Dairy,18-11-2022,68,99,1074,39,Autumn,62,3,0,1
6,Dragon Fruit,Fruits,09-11-2022,68,99,1070,27,Winter,73,2,0,1
3,Kiwi,Fruits,07-11-2022,87,109,1052,43,Winter,70,1,1,3
1,Lassi,Dairy,06-11-2022,82,109,1077,35,Autumn,79,1,1,2
7,Kefir,Dairy,05-11-2022,68,99,1058,42,Winter,90,1,1,2
6,Dragon Fruit,Fruits,01-11-2022,76,99,1073,31,Winter,58,1,0,3
4,Flavored Yogurt,Dairy,14-10-2022,63,99,1058,36,Autumn,80,3,1,3
3,Kiwi,Fruits,16-09-2022,75,99,1071,39,Sunny,58,1,1,1
7,Kefir,Dairy,13-09-2022,66,109,1068,38,Winter,88,3,1,1
6,Dragon Fruit,Fruits,08-08-2022,78,99,1083,49,Sunny,84,2,0,3
6,Dragon Fruit,Fruits,04-07-2022,89,99,1082,42,Winter,85,3,1,1
5,Pomegranate,Fruits,22-06-2022,78,99,1083,38,Autumn,69,2,1,1
5,Pomegranate,Fruits,06-05-2022,68,99,1066,47,Winter,65,1,1,1
7,Kefir,Dairy,05-05-2022,66,99,1073,50,Winter,84,1,0,3
5,Pomegranate,Fruits,01-05-2022,65,99,1076,48,Autumn,62,3,0,3
2,Butter Milk,Dairy,22-04-2022,76,109,1070,30,Sunny,58,3,0,1
4,Flavored Yogurt,Dairy,17-03-2022,82,99,1072,49,Autumn,71,1,0,1
3,Kiwi,Fruits,03-03-2022,93,99,1071,35,Winter,72,3,1,1
5,Pomegranate,Fruits,22-02-2022,75,109,1088,37,Sunny,72,3,1,1
2,Butter Milk,Dairy,09-12-2021,77,99,1071,45,Rainy,68,3,0,1
1,Lassi,Dairy,09-12-2021,82,109,1077,37,Rainy,81,3,0,1
3,Kiwi,Fruits,08-12-2021,87,99,1070,41,Winter,57,3,0,1
7,Kefir,Dairy,07-12-2021,84,109,1066,43,Winter,79,1,0,2
3,Kiwi,Fruits,12-11-2021,65,99,1059,45,Autumn,72,1,0,1
2,Butter Milk,Dairy,07-11-2021,81,99,1061,42,Sunny,81,1,1,1
2,Butter Milk,Dairy,28-10-2021,80,109,1080,40,Winter,75,3,0,1
2,Butter Milk,Dairy,13-10-2021,68,99,1070,36,Autumn,90,2,0,3
3,Kiwi,Fruits,21-09-2021,81,109,1079,40,Rainy,76,3,1,3
3,Kiwi,Fruits,30-08-2021,94,99,1076,36,Rainy,70,3,0,2
2,Butter Milk,Dairy,15-07-2021,79,99,1075,37,Sunny,71,1,1,1
4,Flavored Yogurt,Dairy,11-07-2021,75,99,1068,39,Sunny,70,2,0,3
1,Lassi,Dairy,09-07-2021,82,109,1077,45,Autumn,80,1,0,1
1,Lassi,Dairy,09-07-2021,82,99,1068,47,Rainy,70,1,0,1
3,Kiwi,Fruits,30-06-2021,70,99,1076,48,Rainy,57,1,0,2
1,Lassi,Dairy,05-05-2021,71,99,1068,33,Rainy,69,1,1,2
1,Lassi,Dairy,05-05-2021,71,99,1068,40,Sunny,69,3,0,3
5,Pomegranate,Fruits,08-04-2021,79,99,1072,43,Rainy,72,2,1,1
2,Butter Milk,Dairy,09-02-2021,76,99,1066,37,Sunny,71,2,1,3
2,Butter Milk,Dairy,27-12-2020,73,99,1073,40,Winter,53,3,0,3
5,Pomegranate,Fruits,05-11-2020,79,99,1071,33,Rainy,82,3,1,3
2,Butter Milk,Dairy,01-11-2020,76,99,1069,45,Sunny,72,3,1,3
5,Pomegranate,Fruits,12-10-2020,69,109,1077,48,Autumn,64,2,1,1
1,Lassi,Dairy,07-10-2020,82,109,1077,46,Winter,78,1,0,1
2,Butter Milk,Dairy,06-09-2020,81,99,1080,38,Winter,68,2,1,2
4,Flavored Yogurt,Dairy,24-08-2020,78,99,1075,37,Winter,76,3,1,3
7,Kefir,Dairy,30-07-2020,102,99,1068,44,Winter,70,2,0,2
4,Flavored Yogurt,Dairy,26-06-2020,87,99,1069,47,Sunny,85,1,0,2
5,Pomegranate,Fruits,22-06-2020,79,99,1072,33,Autumn,68,3,1,3
7,Kefir,Dairy,30-04-2020,84,99,1072,37,Sunny,87,2,1,1
7,Kefir,Dairy,06-03-2020,75,109,1057,39,Sunny,75,2,0,3
3,Kiwi,Fruits,29-02-2020,70,99,1072,47,Autumn,77,3,1,1
2,Butter Milk,Dairy,12-02-2020,79,99,1068,41,Rainy,66,3,0,2
1,Lassi,Dairy,02-02-2020,71,99,1068,34,Winter,69,3,0,3
2,Butter Milk,Dairy,26-01-2020,85,109,1070,26,Autumn,76,3,0,2
5,Pomegranate,Fruits,15-01-2020,62,109,1071,46,Winter,60,1,0,2
4,Flavored Yogurt,Dairy,14-12-2019,93,99,1076,44,Rainy,68,2,1,2
2,Butter Milk,Dairy,12-12-2019,75,109,1070,33,Autumn,71,1,1,2
2,Butter Milk,Dairy,16-11-2019,78,109,1081,48,Sunny,72,2,1,2
1,Lassi,Dairy,08-11-2019,71,99,1068,33,Autumn,68,1,1,1
2,Butter Milk,Dairy,15-10-2019,84,109,1077,41,Sunny,84,1,0,1
6,Dragon Fruit,Fruits,10-10-2019,69,99,1066,36,Rainy,77,3,0,2
7,Kefir,Dairy,24-09-2019,76,109,1066,29,Winter,77,2,0,1
2,Butter Milk,Dairy,11-09-2019,74,109,1076,43,Rainy,84,1,1,2
4,Flavored Yogurt,Dairy,05-09-2019,69,99,1067,48,Sunny,69,1,0,1
4,Flavored Yogurt,Dairy,04-09-2019,68,109,1071,48,Sunny,66,2,0,3
7,Kefir,Dairy,23-08-2019,89,109,1077,36,Rainy,68,1,1,2
7,Kefir,Dairy,19-08-2019,77,99,1062,44,Autumn,85,3,1,1
3,Kiwi,Fruits,19-08-2019,72,109,1072,42,Winter,70,3,1,3
6,Dragon Fruit,Fruits,23-07-2019,89,109,1071,43,Winter,68,3,0,2
7,Kefir,Dairy,18-07-2019,55,99,1067,44,Sunny,63,2,1,3
5,Pomegranate,Fruits,07-06-2019,73,109,1070,42,Rainy,81,2,0,2
1,Lassi,Dairy,01-06-2019,71,99,1068,45,Autumn,68,1,1,2
6,Dragon Fruit,Fruits,09-05-2019,72,99,1070,43,Rainy,66,2,0,3
1,Lassi,Dairy,03-05-2019,82,109,1077,42,Winter,81,1,0,3
4,Flavored Yogurt,Dairy,01-05-2019,88,109,1087,33,Sunny,78,2,1,2
6,Dragon Fruit,Fruits,25-04-2019,84,109,1066,39,Rainy,74,1,0,3
5,Pomegranate,Fruits,25-04-2019,69,99,1080,32,Winter,82,2,0,3
5,Pomegranate,Fruits,23-03-2019,80,99,1079,32,Autumn,81,1,1,1
1,Lassi,Dairy,12-03-2019,71,99,1068,41,Sunny,70,3,1,1
1,Lassi,Dairy,06-03-2019,82,109,1077,38,Rainy,81,3,0,1
7,Kefir,Dairy,01-03-2019,83,99,1056,32,Autumn,74,3,0,1
3,Kiwi,Fruits,28-02-2019,87,99,1082,43,Rainy,75,1,1,1
3,Kiwi,Fruits,29-01-2019,57,109,1065,45,Rainy,74,1,0,3
7,Kefir,Dairy,17-01-2019,76,99,1071,42,Autumn,76,2,0,3
7,Kefir,Dairy,10-01-2019,63,99,1073,32,Autumn,78,1,0,3
8,Custard,Dairy,9-25-2021,71,99,1068,41,Sunny,68,2,0,2
8,Custard,Dairy,9-25-2021,71,99,1068,47,Rainy,69,1,0,3
8,Custard,Dairy,8-31-2019,71,99,1068,41,Winter,69,2,1,3
8,Custard,Dairy,8-17-2023,82,109,1077,50,Rainy,80,1,1,2
8,Custard,Dairy,8-17-2023,82,99,1068,39,Rainy,70,1,1,2
8,Custard,Dairy,7-27-2020,82,109,1077,47,Winter,78,1,1,2
8,Custard,Dairy,7-27-2020,82,99,1068,34,Rainy,69,3,1,1
8,Custard,Dairy,7-26-2021,71,99,1068,45,Winter,69,2,0,1
8,Custard,Dairy,7-26-2021,71,99,1068,50,Rainy,68,1,0,2
8,Custard,Dairy,7-19-2021,82,109,1077,37,Rainy,80,2,1,3
8,Custard,Dairy,6-20-2019,71,99,1068,46,Rainy,70,3,0,2
8,Custard,Dairy,6-20-2019,71,99,1068,45,Sunny,70,3,1,1
8,Custard,Dairy,6-14-2023,90,116,1083,41,Autumn,83,2,1,2
8,Custard,Dairy,6-14-2023,90,99,1068,38,Winter,70,3,1,2
8,Custard,Dairy,6-14-2019,82,109,1077,37,Winter,79,2,0,1
8,Custard,Dairy,5-30-2023,71,99,1068,34,Sunny,68,2,0,3
8,Custard,Dairy,5-30-2023,71,109,1077,44,Rainy,79,2,1,2
8,Custard,Dairy,5-25-2023,71,99,1068,46,Winter,70,3,1,3
8,Custard,Dairy,5-23-2019,71,99,1068,36,Sunny,69,1,1,2
8,Custard,Dairy,5-23-2019,71,99,1068,50,Autumn,68,3,1,2
8,Custard,Dairy,4-29-2021,71,99,1068,46,Sunny,69,3,0,1
8,Custard,Dairy,4-15-2022,82,109,1077,42,Winter,81,1,0,1
8,Custard,Dairy,3-27-2022,82,109,1077,47,Sunny,80,3,1,3
8,Custard,Dairy,3-26-2020,71,99,1068,43,Rainy,70,1,0,2
8,Custard,Dairy,3-26-2020,71,109,1077,43,Rainy,79,3,0,2
8,Custard,Dairy,2-13-2019,71,99,1068,45,Winter,70,1,0,2
8,Custard,Dairy,2-13-2019,71,109,1077,43,Autumn,77,3,0,1
8,Custard,Dairy,1-31-2021,71,99,1068,37,Winter,68,3,0,1
8,Custard,Dairy,12-24-2023,82,109,1077,34,Autumn,77,3,0,3
8,Custard,Dairy,12-24-2023,82,99,1068,41,Autumn,69,1,0,2
8,Custard,Dairy,1-17-2019,71,99,1068,36,Winter,68,1,1,2
8,Custard,Dairy,10-25-2022,82,109,1077,39,Winter,78,3,1,3
8,Custard,Dairy,10-25-2022,82,99,1068,50,Autumn,69,3,0,3
8,Custard,Dairy,10-20-2023,82,109,1077,42,Winter,77,1,1,1
3,Kiwi,Fruits,29-11-2023,93,109,1086,42,Rainy,69,2,0,3
6,Dragon Fruit,Fruits,27-11-2023,71,99,1071,49,Autumn,87,2,1,3
6,Dragon Fruit,Fruits,09-11-2023,64,99,1059,34,Sunny,63,3,1,3
2,Butter Milk,Dairy,28-10-2023,76,99,1080,41,Winter,85,2,0,3
6,Dragon Fruit,Fruits,24-10-2023,82,99,1090,40,Sunny,84,3,1,1
8,Custard,Dairy,04-10-2023,71,99,1068,39,Autumn,69,2,0,3
8,Custard,Dairy,04-10-2023,71,109,1077,46,Sunny,78,1,1,3
6,Dragon Fruit,Fruits,01-10-2023,66,109,1076,45,Autumn,64,1,1,1
3,Kiwi,Fruits,24-09-2023,74,99,1071,33,Rainy,82,3,1,1
6,Dragon Fruit,Fruits,08-09-2023,73,99,1073,52,Winter,67,3,1,3
5,Pomegranate,Fruits,16-08-2023,76,99,1069,46,Rainy,84,3,0,2
2,Butter Milk,Dairy,27-07-2023,68,99,1081,37,Sunny,82,3,1,3
8,Custard,Dairy,05-07-2023,71,99,1068,44,Rainy,70,3,0,3
8,Custard,Dairy,05-07-2023,71,99,1068,50,Rainy,68,2,1,2
7,Kefir,Dairy,27-06-2023,78,109,1078,45,Rainy,63,1,1,3
7,Kefir,Dairy,23-06-2023,71,109,1066,37,Autumn,89,2,0,1
4,Flavored Yogurt,Dairy,01-06-2023,89,109,1087,32,Sunny,72,3,1,3
8,Custard,Dairy,06-05-2023,71,99,1068,32,Winter,69,3,1,3
8,Custard,Dairy,06-05-2023,71,99,1068,36,Autumn,70,1,1,3
5,Pomegranate,Fruits,23-04-2023,68,99,1069,49,Rainy,74,3,0,1
2,Butter Milk,Dairy,08-04-2023,79,99,1083,33,Winter,78,1,1,3
4,Flavored Yogurt,Dairy,11-03-2023,75,99,1063,39,Winter,69,2,0,3
6,Dragon Fruit,Fruits,05-01-2023,84,99,1074,41,Winter,68,3,1,3
2,Butter Milk,Dairy,18-12-2022,73,99,1076,36,Sunny,69,3,1,1
3,Kiwi,Fruits,27-11-2022,78,109,1087,47,Winter,69,2,1,3
8,Custard,Dairy,03-10-2022,71,99,1068,38,Autumn,70,2,1,3
5,Pomegranate,Fruits,09-09-2022,86,99,1076,45,Autumn,71,1,0,1
4,Flavored Yogurt,Dairy,06-09-2022,76,109,1085,38,Sunny,72,2,0,2
4,Flavored Yogurt,Dairy,16-08-2022,71,109,1072,46,Winter,82,1,1,2
6,Dragon Fruit,Fruits,13-08-2022,71,109,1069,43,Rainy,69,2,0,3
5,Pomegranate,Fruits,06-08-2022,75,99,1066,35,Rainy,77,2,0,2
4,Flavored Yogurt,Dairy,06-08-2022,89,99,1082,38,Sunny,76,2,0,1
3,Kiwi,Fruits,11-06-2022,78,99,1063,35,Autumn,80,2,1,1
4,Flavored Yogurt,Dairy,19-05-2022,72,99,1066,39,Rainy,64,3,0,2
4,Flavored Yogurt,Dairy,05-05-2022,88,109,1056,43,Sunny,71,2,0,1
2,Butter Milk,Dairy,03-04-2022,67,99,1065,39,Sunny,54,1,0,1
2,Butter Milk,Dairy,26-03-2022,61,99,1078,39,Sunny,79,3,1,2
3,Kiwi,Fruits,23-03-2022,75,109,1071,34,Winter,72,1,0,3
2,Butter Milk,Dairy,17-03-2022,68,99,1066,41,Sunny,80,2,1,3
6,Dragon Fruit,Fruits,13-03-2022,87,99,1072,32,Rainy,71,3,1,1
4,Flavored Yogurt,Dairy,11-03-2022,58,99,1074,42,Autumn,65,1,0,2
6,Dragon Fruit,Fruits,20-02-2022,91,99,1072,40,Autumn,69,1,0,3
3,Kiwi,Fruits,28-01-2022,65,109,1060,38,Sunny,76,2,1,1
2,Butter Milk,Dairy,16-01-2022,92,109,1062,33,Autumn,73,1,0,3
3,Kiwi,Fruits,10-01-2022,81,109,1072,48,Winter,68,3,1,3
3,Kiwi,Fruits,22-11-2021,52,99,1071,47,Autumn,68,2,1,3
4,Flavored Yogurt,Dairy,29-10-2021,70,109,1070,33,Rainy,69,2,0,1
6,Dragon Fruit,Fruits,28-10-2021,75,109,1076,32,Sunny,71,3,1,2
7,Kefir,Dairy,03-09-2021,76,99,1058,37,Sunny,51,1,0,3
2,Butter Milk,Dairy,30-08-2021,68,99,1071,43,Autumn,74,1,0,2
4,Flavored Yogurt,Dairy,02-08-2021,84,99,1079,52,Sunny,71,3,0,1
2,Butter Milk,Dairy,26-07-2021,73,109,1062,42,Winter,79,1,0,1
5,Pomegranate,Fruits,16-07-2021,71,109,1077,39,Winter,73,3,1,1
7,Kefir,Dairy,05-07-2021,76,99,1067,41,Rainy,69,2,0,2
4,Flavored Yogurt,Dairy,22-06-2021,74,99,1066,37,Rainy,73,2,1,1
6,Dragon Fruit,Fruits,31-05-2021,76,99,1062,38,Winter,68,3,0,3
2,Butter Milk,Dairy,06-05-2021,79,109,1069,34,Rainy,66,2,0,3
3,Kiwi,Fruits,21-04-2021,70,99,1068,43,Autumn,60,2,1,1
5,Pomegranate,Fruits,11-04-2021,79,107,1070,43,Rainy,61,2,0,1
6,Dragon Fruit,Fruits,26-03-2021,70,99,1074,39,Winter,71,1,1,2
7,Kefir,Dairy,23-03-2021,65,49,1056,42,Rainy,63,1,1,1
5,Pomegranate,Fruits,09-03-2021,84,109,1085,37,Winter,61,1,1,3
6,Dragon Fruit,Fruits,17-02-2021,70,99,1059,36,Winter,64,3,1,2
8,Custard,Dairy,12-02-2021,71,99,1068,44,Rainy,68,2,1,2
7,Kefir,Dairy,22-01-2021,63,99,1072,39,Winter,75,3,0,3
7,Kefir,Dairy,25-11-2020,71,99,1082,45,Sunny,71,3,0,2
6,Dragon Fruit,Fruits,25-11-2020,75,109,1079,35,Rainy,103,3,0,1
7,Kefir,Dairy,21-11-2020,76,99,1059,43,Rainy,70,2,1,3
8,Custard,Dairy,04-11-2020,82,109,1077,36,Autumn,81,3,1,1
3,Kiwi,Fruits,24-10-2020,74,99,1060,42,Rainy,72,2,0,2
4,Flavored Yogurt,Dairy,21-10-2020,78,109,1065,48,Sunny,78,2,0,3
8,Custard,Dairy,07-09-2020,82,109,1077,37,Autumn,78,2,1,2
8,Custard,Dairy,07-09-2020,82,109,1077,43,Rainy,80,3,0,2
3,Kiwi,Fruits,01-09-2020,84,109,1074,38,Rainy,73,3,0,1
3,Kiwi,Fruits,20-08-2020,65,109,1066,31,Rainy,91,3,0,2
7,Kefir,Dairy,05-08-2020,74,99,1082,42,Rainy,80,3,0,3
3,Kiwi,Fruits,30-07-2020,77,99,1063,38,Winter,66,1,1,1
2,Butter Milk,Dairy,14-07-2020,68,109,1085,46,Winter,74,1,0,1
6,Dragon Fruit,Fruits,18-06-2020,92,99,1068,37,Rainy,82,1,0,2
7,Kefir,Dairy,16-06-2020,92,99,1069,51,Sunny,75,2,1,1
8,Custard,Dairy,01-06-2020,82,109,1077,39,Sunny,79,3,0,3
7,Kefir,Dairy,30-05-2020,78,99,1070,37,Autumn,68,1,1,3
6,Dragon Fruit,Fruits,06-05-2020,72,109,1073,30,Winter,68,1,1,1
2,Butter Milk,Dairy,28-04-2020,80,99,1077,42,Winter,72,3,0,3
2,Butter Milk,Dairy,20-04-2020,71,99,1066,38,Sunny,76,1,0,3
4,Flavored Yogurt,Dairy,13-04-2020,86,99,1075,52,Autumn,71,1,1,2
7,Kefir,Dairy,01-04-2020,73,109,1066,37,Sunny,73,2,0,3
4,Flavored Yogurt,Dairy,04-03-2020,59,99,1068,39,Winter,70,2,1,2
2,Butter Milk,Dairy,11-02-2020,65,99,1069,34,Winter,66,3,0,2
8,Custard,Dairy,09-02-2020,71,99,1068,38,Rainy,69,3,1,1
4,Flavored Yogurt,Dairy,03-02-2020,89,99,1071,37,Autumn,72,2,1,2
2,Butter Milk,Dairy,21-01-2020,82,99,1071,35,Autumn,68,2,1,2
8,Custard,Dairy,12-01-2020,71,99,1068,49,Sunny,70,1,0,2
6,Dragon Fruit,Fruits,27-12-2019,91,99,1087,42,Sunny,74,3,0,3
3,Kiwi,Fruits,14-12-2019,61,99,1070,39,Sunny,60,1,0,3
3,Kiwi,Fruits,01-12-2019,80,99,1067,37,Winter,76,3,0,3
8,Custard,Dairy,01-12-2019,82,109,1077,38,Rainy,80,2,0,3
3,Kiwi,Fruits,20-11-2019,80,109,1066,35,Rainy,82,3,0,2
4,Flavored Yogurt,Dairy,19-11-2019,77,99,1082,50,Autumn,86,3,0,3
6,Dragon Fruit,Fruits,18-10-2019,70,109,1059,37,Winter,71,1,1,1
6,Dragon Fruit,Fruits,04-10-2019,64,99,1061,43,Rainy,74,1,1,2
5,Pomegranate,Fruits,02-10-2019,78,99,1066,41,Autumn,74,2,0,1
5,Pomegranate,Fruits,22-09-2019,75,99,1062,45,Sunny,69,3,1,2
2,Butter Milk,Dairy,07-09-2019,81,99,1078,39,Sunny,78,2,1,3
7,Kefir,Dairy,03-09-2019,66,99,1067,43,Winter,63,2,0,2
3,Kiwi,Fruits,01-07-2019,61,99,1069,39,Winter,75,1,0,2
6,Dragon Fruit,Fruits,25-06-2019,92,99,1059,44,Sunny,68,2,1,1
4,Flavored Yogurt,Dairy,11-06-2019,58,99,1065,40,Sunny,65,3,1,1
3,Kiwi,Fruits,05-06-2019,51,99,1080,47,Autumn,75,3,0,1
8,Custard,Dairy,02-06-2019,71,99,1068,39,Autumn,68,1,1,3
6,Dragon Fruit,Fruits,31-05-2019,76,99,1081,41,Rainy,53,1,0,2
5,Pomegranate,Fruits,27-05-2019,70,99,1060,45,Sunny,86,3,1,3
6,Dragon Fruit,Fruits,18-05-2019,77,109,1065,36,Sunny,77,1,0,1
4,Flavored Yogurt,Dairy,11-05-2019,76,99,1063,43,Autumn,65,3,1,3
8,Custard,Dairy,07-05-2019,71,99,1068,33,Rainy,68,3,1,1
8,Custard,Dairy,07-05-2019,71,99,1068,48,Winter,70,1,0,2
5,Pomegranate,Fruits,06-05-2019,83,109,1061,40,Sunny,87,2,1,1
4,Flavored Yogurt,Dairy,03-05-2019,66,109,1072,40,Rainy,85,3,1,2
7,Kefir,Dairy,24-04-2019,62,109,1083,45,Autumn,57,1,0,1
4,Flavored Yogurt,Dairy,21-04-2019,84,109,1068,44,Rainy,66,3,1,2
2,Butter Milk,Dairy,08-04-2019,71,99,1073,48,Winter,68,1,0,1
5,Pomegranate,Fruits,25-03-2019,61,99,1060,41,Autumn,84,1,0,2
5,Pomegranate,Fruits,18-02-2019,74,99,1072,44,Sunny,82,1,0,3
6,Dragon Fruit,Fruits,06-01-2019,74,99,1063,51,Rainy,77,2,1,2
9,Double cream,Dairy,8-22-2020,71,99,1068,44,Rainy,69,3,1,2
9,Double cream,Dairy,8-20-2023,71,99,1068,36,Sunny,70,2,1,3
9,Double cream,Dairy,8-20-2023,71,99,1068,36,Autumn,68,2,0,1
9,Double cream,Dairy,8-18-2021,71,99,1068,45,Sunny,70,2,0,3
9,Double cream,Dairy,7-20-2021,82,109,1077,33,Autumn,77,3,0,3
9,Double cream,Dairy,7-20-2021,82,99,1068,45,Winter,69,3,0,2
9,Double cream,Dairy,6-18-2019,71,99,1068,33,Rainy,70,3,1,2
9,Double cream,Dairy,6-18-2019,71,99,1068,36,Autumn,70,3,0,1
9,Double cream,Dairy,6-16-2022,71,99,1068,45,Rainy,70,1,1,2
9,Double cream,Dairy,6-16-2022,71,109,1077,41,Sunny,78,3,1,1
9,Double cream,Dairy,6-16-2019,23,50,1018,37,Autumn,21,3,1,2
9,Double cream,Dairy,6-16-2019,23,109,1077,34,Sunny,77,1,0,2
9,Double cream,Dairy,5-30-2020,71,99,1068,42,Rainy,69,2,0,2
9,Double cream,Dairy,5-30-2020,71,99,1068,34,Winter,70,3,0,3
9,Double cream,Dairy,5-20-2019,71,99,1068,36,Autumn,68,2,1,1
9,Double cream,Dairy,5-20-2019,71,109,1077,35,Autumn,79,3,1,2
9,Double cream,Dairy,5-18-2020,82,109,1077,46,Autumn,80,2,0,1
9,Double cream,Dairy,5-18-2020,82,99,1068,46,Autumn,70,3,1,2
