Item_ID,Item_Name,Category,Date,Last_Month_Sales,Capacity,Last_Year_Sales,Weather,Predicted_Sales,City_Tier,Outlet,On_promotion
3,Beer,Beverages,19-08-2023,469,426,2249,Rainy,453,1,1,0
14,Water,Beverages,04-06-2023,395,224,1698,Snowy,414,3,3,0
3,Beer,Beverages,04-03-2024,477,880,3492,Cloudy,426,1,2,0
18,Banana,Fruits,31-08-2023,235,837,1606,Cloudy,214,3,1,0
12,Pepper,Vegetables,02-08-2023,235,907,3261,Windy,240,1,1,0
10,Orange,Fruits,10-07-2023,233,547,2131,Snowy,217,2,2,0
16,Cheese,Dairy,14-03-2024,492,883,2582,Cloudy,501,1,3,1
17,Potato,Vegetables,12-05-2023,223,543,4168,Rainy,231,3,3,0
8,Apple,Fruits,10-01-2024,132,315,3502,Windy,131,1,2,1
19,Butter,Dairy,01-11-2023,232,641,1093,Windy,220,2,3,1
2,Carrot,Vegetables,03-06-2023,285,575,4748,Sunny,227,2,3,0
3,Beer,Beverages,18-02-2024,173,418,2975,Windy,208,3,3,1
18,Banana,Fruits,04-04-2024,307,554,4674,Rainy,267,2,1,1
15,Yogurt,Dairy,22-04-2024,494,527,1606,Windy,527,2,2,1
3,Beer,Beverages,22-03-2024,115,369,3214,Cloudy,110,1,3,0
1,Cream,Dairy,12-04-2024,200,615,3269,Windy,207,3,2,1
11,Coffee,Beverages,22-04-2024,368,936,2769,Windy,362,3,1,0
19,Butter,Dairy,25-11-2023,318,355,1696,Rainy,285,1,2,1
20,Tomato,Vegetables,28-09-2023,444,490,3051,Cloudy,437,1,3,1
13,Soda,Beverages,28-01-2024,422,804,4686,Windy,411,2,2,0
18,Banana,Fruits,15-08-2023,200,894,1845,Windy,207,2,1,1
15,Yogurt,Dairy,10-03-2024,354,481,1021,Cloudy,353,1,2,0
6,Milk,Dairy,24-03-2024,219,877,4967,Snowy,197,2,1,1
14,Water,Beverages,11-04-2024,299,333,4631,Windy,274,3,3,1
17,Potato,Vegetables,15-12-2023,413,675,2369,Rainy,397,2,1,0
8,Apple,Fruits,09-10-2023,117,909,1447,Rainy,136,1,2,0
9,Cherry,Fruits,14-08-2023,264,770,2201,Snowy,252,2,2,0
13,Soda,Beverages,07-11-2023,257,724,4702,Windy,249,3,1,0
11,Coffee,Beverages,04-01-2024,274,698,4947,Snowy,256,1,1,1
11,Coffee,Beverages,20-04-2024,176,493,1116,Snowy,166,2,3,1
9,Cherry,Fruits,15-09-2023,385,715,1074,Cloudy,424,3,1,1
3,Beer,Beverages,02-09-2023,404,814,1777,Rainy,445,1,1,1
20,Tomato,Vegetables,04-11-2023,333,580,1885,Rainy,317,1,3,1
4,Juice,Beverages,30-12-2023,389,299,4289,Snowy,363,3,1,1
4,Juice,Beverages,23-03-2024,322,868,2608,Cloudy,288,2,1,0
5,Grapes,Fruits,02-08-2023,252,858,4779,Windy,276,2,3,1
15,Yogurt,Dairy,08-02-2024,100,338,1707,Sunny,90,2,3,1
12,Pepper,Vegetables,14-06-2023,458,220,3731,Rainy,452,1,2,1
15,Yogurt,Dairy,24-07-2023,205,906,1225,Rainy,220,3,3,0
20,Tomato,Vegetables,03-03-2024,357,466,4078,Cloudy,369,3,3,0
5,Grapes,Fruits,06-09-2023,431,570,2365,Sunny,378,1,2,0
1,Cream,Dairy,11-03-2024,216,381,3283,Rainy,216,3,1,1
9,Cherry,Fruits,08-06-2023,147,788,2685,Sunny,152,2,2,1
10,Orange,Fruits,25-06-2023,313,718,1612,Rainy,317,3,2,0
7,Cucumber,Vegetables,25-01-2024,243,685,4109,Cloudy,237,1,3,1
10,Orange,Fruits,17-05-2023,496,805,4904,Cloudy,499,3,3,0
1,Cream,Dairy,08-12-2023,489,795,1127,Rainy,443,1,1,0
13,Soda,Beverages,17-04-2024,100,927,3767,Snowy,83,1,2,1
1,Cream,Dairy,19-12-2023,423,344,2904,Windy,409,1,2,1
3,Beer,Beverages,28-05-2023,109,692,2214,Sunny,101,3,3,1
8,Apple,Fruits,17-06-2023,488,428,2863,Cloudy,449,3,3,1
17,Potato,Vegetables,12-07-2023,346,792,2179,Rainy,342,3,3,1
20,Tomato,Vegetables,17-03-2024,190,490,3614,Cloudy,151,2,2,1
17,Potato,Vegetables,15-06-2023,113,301,1787,Rainy,115,1,2,1
10,Orange,Fruits,04-06-2023,297,580,1100,Rainy,283,2,1,0
17,Potato,Vegetables,18-03-2024,250,230,3303,Snowy,254,1,1,0
5,Grapes,Fruits,14-05-2023,462,786,1123,Snowy,395,3,2,1
7,Cucumber,Vegetables,08-05-2023,140,388,2233,Sunny,167,2,2,0
19,Butter,Dairy,10-07-2023,194,438,4749,Windy,210,1,2,0
3,Beer,Beverages,17-06-2023,379,400,2408,Sunny,430,2,3,1
2,Carrot,Vegetables,20-07-2023,317,545,4206,Windy,304,2,3,0
14,Water,Beverages,05-03-2024,474,951,2814,Rainy,401,2,3,1
17,Potato,Vegetables,27-04-2024,148,399,1239,Rainy,123,1,3,1
8,Apple,Fruits,08-05-2023,364,466,3309,Rainy,313,2,1,1
18,Banana,Fruits,12-10-2023,489,461,3086,Cloudy,478,2,3,0
10,Orange,Fruits,08-06-2023,486,789,2291,Sunny,401,1,2,1
12,Pepper,Vegetables,08-08-2023,254,887,2634,Snowy,296,1,2,0
14,Water,Beverages,24-07-2023,344,669,1183,Cloudy,310,3,3,0
7,Cucumber,Vegetables,06-01-2024,197,438,3451,Rainy,173,2,3,0
6,Milk,Dairy,13-09-2023,189,693,3598,Rainy,211,3,3,1
17,Potato,Vegetables,09-07-2023,222,613,1770,Sunny,242,2,1,0
9,Cherry,Fruits,28-10-2023,459,463,3739,Sunny,523,2,2,1
9,Cherry,Fruits,17-12-2023,478,511,4672,Windy,459,2,3,0
13,Soda,Beverages,26-01-2024,495,918,4666,Sunny,546,1,2,1
20,Tomato,Vegetables,16-07-2023,491,997,2102,Sunny,415,2,2,0
7,Cucumber,Vegetables,16-09-2023,281,484,1448,Snowy,283,1,2,1
1,Cream,Dairy,08-02-2024,492,595,3524,Snowy,437,3,2,0
8,Apple,Fruits,20-03-2024,178,467,2305,Windy,171,3,2,1
18,Banana,Fruits,20-04-2024,485,856,4329,Windy,501,2,1,1
18,Banana,Fruits,04-07-2023,305,306,1595,Sunny,255,1,3,0
6,Milk,Dairy,16-01-2024,164,941,4359,Snowy,186,2,2,0
6,Milk,Dairy,22-02-2024,436,270,3069,Cloudy,516,1,1,1
5,Grapes,Fruits,01-03-2024,229,563,2019,Windy,229,3,1,0
14,Water,Beverages,30-06-2023,427,483,3264,Cloudy,459,1,2,1
10,Orange,Fruits,01-07-2023,178,988,2607,Sunny,157,1,2,0
14,Water,Beverages,21-11-2023,308,241,2498,Sunny,332,2,1,1
11,Coffee,Beverages,14-06-2023,266,520,4718,Rainy,260,3,2,1
5,Grapes,Fruits,21-04-2024,390,573,4232,Windy,347,1,3,1
6,Milk,Dairy,13-01-2024,424,473,3819,Rainy,447,2,3,1
3,Beer,Beverages,05-05-2023,416,847,3739,Rainy,472,1,1,0
9,Cherry,Fruits,19-01-2024,268,443,3581,Cloudy,288,3,2,1
11,Coffee,Beverages,13-04-2024,231,785,1797,Snowy,268,1,3,1
3,Beer,Beverages,03-04-2024,232,645,2882,Rainy,218,1,3,1
14,Water,Beverages,20-04-2024,186,807,3056,Windy,176,1,3,0
13,Soda,Beverages,07-01-2024,286,676,3159,Sunny,299,1,1,1
13,Soda,Beverages,27-09-2023,388,924,1747,Rainy,373,2,1,0
18,Banana,Fruits,10-01-2024,100,412,2133,Rainy,99,2,3,1
11,Coffee,Beverages,28-06-2023,168,694,4020,Windy,190,2,1,0
9,Cherry,Fruits,23-01-2024,436,666,1165,Sunny,480,2,2,0
7,Cucumber,Vegetables,24-10-2023,285,465,3098,Snowy,282,1,2,1
20,Tomato,Vegetables,30-05-2023,112,910,4708,Rainy,112,3,1,0
14,Water,Beverages,11-02-2024,437,997,1155,Windy,490,2,2,0
15,Yogurt,Dairy,27-11-2023,474,611,4300,Rainy,437,3,2,0
16,Cheese,Dairy,21-06-2023,158,992,1114,Snowy,147,1,1,1
8,Apple,Fruits,19-02-2024,223,213,1769,Snowy,208,3,3,0
9,Cherry,Fruits,13-09-2023,139,669,2613,Windy,150,1,2,1
3,Beer,Beverages,19-08-2023,357,620,4850,Sunny,364,3,2,1
17,Potato,Vegetables,16-09-2023,305,539,3607,Cloudy,307,1,2,0
5,Grapes,Fruits,10-04-2024,298,849,4599,Cloudy,296,2,3,1
1,Cream,Dairy,26-03-2024,385,601,3083,Rainy,476,1,1,1
4,Juice,Beverages,20-06-2023,455,896,2730,Windy,439,2,1,0
11,Coffee,Beverages,28-08-2023,265,742,2799,Snowy,243,1,3,1
15,Yogurt,Dairy,14-02-2024,247,655,1060,Rainy,252,1,3,1
15,Yogurt,Dairy,16-03-2024,467,316,3020,Rainy,566,1,3,1
10,Orange,Fruits,31-05-2023,308,424,3654,Cloudy,266,1,2,1
13,Soda,Beverages,16-12-2023,437,927,4483,Sunny,490,1,3,1
20,Tomato,Vegetables,26-01-2024,489,577,1231,Snowy,470,2,1,0
2,Carrot,Vegetables,01-07-2023,313,656,2788,Sunny,297,3,1,1
10,Orange,Fruits,25-07-2023,199,781,2985,Windy,188,2,1,1
6,Milk,Dairy,21-10-2023,143,987,3402,Windy,131,1,3,1
15,Yogurt,Dairy,30-01-2024,477,651,3568,Rainy,474,3,3,1
19,Butter,Dairy,16-01-2024,463,589,1341,Cloudy,532,3,2,1
17,Potato,Vegetables,03-04-2024,208,403,1243,Cloudy,210,3,3,0
16,Cheese,Dairy,03-10-2023,498,733,2135,Cloudy,496,2,3,1
7,Cucumber,Vegetables,27-01-2024,230,739,3792,Cloudy,245,1,1,0
12,Pepper,Vegetables,09-10-2023,489,450,1573,Snowy,568,2,2,0
13,Soda,Beverages,12-01-2024,162,222,2249,Rainy,189,2,1,0
3,Beer,Beverages,18-05-2023,415,473,4268,Sunny,417,3,2,1
18,Banana,Fruits,19-10-2023,417,381,1081,Cloudy,442,3,1,0
8,Apple,Fruits,08-08-2023,440,698,1178,Sunny,431,2,3,0
12,Pepper,Vegetables,30-06-2023,143,614,2851,Cloudy,138,1,1,0
20,Tomato,Vegetables,20-11-2023,491,343,1631,Sunny,461,3,3,0
13,Soda,Beverages,05-11-2023,129,251,4545,Sunny,122,1,3,1
14,Water,Beverages,04-12-2023,444,473,2988,Cloudy,469,2,2,1
12,Pepper,Vegetables,17-02-2024,172,273,1740,Windy,158,3,1,1
7,Cucumber,Vegetables,07-04-2024,370,773,4415,Windy,368,1,1,1
2,Carrot,Vegetables,08-11-2023,271,297,1178,Rainy,239,2,2,1
4,Juice,Beverages,29-08-2023,342,293,2893,Cloudy,344,3,2,1
2,Carrot,Vegetables,28-10-2023,126,960,1644,Cloudy,104,3,1,1
7,Cucumber,Vegetables,09-03-2024,458,604,2407,Cloudy,452,3,2,0
15,Yogurt,Dairy,03-04-2024,151,761,4615,Cloudy,151,3,1,0
19,Butter,Dairy,08-10-2023,165,288,3320,Sunny,160,2,3,1
11,Coffee,Beverages,29-11-2023,304,204,2008,Snowy,295,2,2,0
14,Water,Beverages,01-06-2023,104,926,2295,Sunny,93,3,3,1
15,Yogurt,Dairy,05-02-2024,253,403,1479,Rainy,272,3,1,0
15,Yogurt,Dairy,05-05-2023,228,551,1184,Snowy,235,3,3,0
8,Apple,Fruits,18-01-2024,290,967,4630,Windy,281,2,1,0
12,Pepper,Vegetables,30-08-2023,415,704,1339,Cloudy,387,2,1,0
1,Cream,Dairy,21-07-2023,152,498,3698,Sunny,158,2,2,0
9,Cherry,Fruits,02-02-2024,148,414,4117,Sunny,152,3,1,0
4,Juice,Beverages,30-04-2023,421,541,2858,Snowy,351,3,1,1
8,Apple,Fruits,21-11-2023,251,322,3130,Rainy,240,3,2,0
17,Potato,Vegetables,06-06-2023,255,713,3313,Rainy,230,1,2,1
4,Juice,Beverages,15-06-2023,312,837,4774,Cloudy,320,2,1,0
8,Apple,Fruits,07-01-2024,244,385,4717,Windy,270,3,1,0
9,Cherry,Fruits,03-04-2024,495,291,2841,Snowy,463,3,3,1
20,Tomato,Vegetables,16-08-2023,105,273,2880,Snowy,118,1,1,0
7,Cucumber,Vegetables,09-07-2023,280,266,4911,Windy,252,2,2,0
6,Milk,Dairy,31-10-2023,250,673,2241,Sunny,255,3,3,0
14,Water,Beverages,22-04-2024,172,455,2665,Cloudy,155,3,1,0
15,Yogurt,Dairy,29-12-2023,451,243,1987,Rainy,515,3,2,1
8,Apple,Fruits,08-05-2023,457,787,2909,Snowy,488,2,2,0
19,Butter,Dairy,18-04-2024,246,263,2369,Windy,213,2,1,1
15,Yogurt,Dairy,05-03-2024,242,488,3241,Sunny,233,1,3,0
8,Apple,Fruits,13-06-2023,125,272,3098,Windy,148,1,1,0
14,Water,Beverages,07-08-2023,192,726,3504,Rainy,205,2,2,1
2,Carrot,Vegetables,08-01-2024,281,724,2453,Sunny,298,3,3,1
10,Orange,Fruits,12-03-2024,465,777,3987,Sunny,371,3,2,1
12,Pepper,Vegetables,05-01-2024,201,576,1184,Windy,199,3,2,0
16,Cheese,Dairy,13-06-2023,134,914,4532,Cloudy,134,3,2,1
10,Orange,Fruits,28-06-2023,175,251,3548,Cloudy,182,1,1,0
17,Potato,Vegetables,25-03-2024,103,793,4216,Snowy,95,1,3,0
14,Water,Beverages,16-05-2023,160,419,1642,Sunny,165,1,2,0
15,Yogurt,Dairy,18-07-2023,363,862,4708,Cloudy,410,3,2,1
18,Banana,Fruits,08-08-2023,471,635,3642,Snowy,461,2,1,0
11,Coffee,Beverages,30-08-2023,415,354,4704,Snowy,374,3,3,0
6,Milk,Dairy,28-04-2024,427,296,2725,Sunny,411,3,3,0
19,Butter,Dairy,24-03-2024,115,402,3133,Sunny,125,3,1,0
11,Coffee,Beverages,23-03-2024,181,386,4084,Sunny,198,3,1,1
6,Milk,Dairy,27-01-2024,134,524,4962,Snowy,125,1,2,1
15,Yogurt,Dairy,09-01-2024,340,567,1198,Snowy,327,1,2,1
20,Tomato,Vegetables,31-01-2024,422,721,2134,Sunny,415,1,1,0
10,Orange,Fruits,14-04-2024,480,341,4307,Sunny,453,2,3,0
9,Cherry,Fruits,03-01-2024,128,509,4866,Cloudy,105,1,3,1
19,Butter,Dairy,21-09-2023,430,402,3697,Sunny,407,1,3,0
17,Potato,Vegetables,24-11-2023,447,221,4809,Sunny,427,2,1,1
2,Carrot,Vegetables,19-07-2023,408,479,2146,Windy,397,2,3,0
10,Orange,Fruits,14-12-2023,354,712,3950,Snowy,373,2,1,0
7,Cucumber,Vegetables,03-05-2023,382,462,1233,Cloudy,390,2,1,1
1,Cream,Dairy,27-06-2023,219,676,1270,Windy,182,1,2,1
10,Orange,Fruits,06-09-2023,330,243,4227,Rainy,345,1,2,1
10,Orange,Fruits,01-03-2024,378,989,1441,Sunny,424,2,1,0
10,Orange,Fruits,03-02-2024,380,542,3321,Windy,418,1,3,0
2,Carrot,Vegetables,08-09-2023,142,527,1665,Windy,142,2,2,1
3,Beer,Beverages,26-12-2023,477,690,4203,Snowy,497,2,1,1
13,Soda,Beverages,16-05-2023,464,929,2543,Windy,436,3,3,1
19,Butter,Dairy,02-07-2023,372,885,2512,Rainy,292,2,1,1
9,Cherry,Fruits,12-12-2023,106,570,1767,Rainy,130,2,1,1
3,Beer,Beverages,17-09-2023,287,703,4705,Cloudy,302,2,3,1
5,Grapes,Fruits,29-11-2023,249,462,3132,Sunny,241,3,2,0
4,Juice,Beverages,21-08-2023,466,587,2845,Sunny,478,1,3,1
7,Cucumber,Vegetables,01-11-2023,410,717,3833,Snowy,409,2,3,0
16,Cheese,Dairy,01-08-2023,181,433,1110,Cloudy,196,3,1,0
15,Yogurt,Dairy,27-08-2023,336,827,4005,Cloudy,310,2,2,0
12,Pepper,Vegetables,27-03-2024,191,428,2211,Cloudy,180,3,3,1
15,Yogurt,Dairy,06-02-2024,337,729,2260,Rainy,385,2,3,0
11,Coffee,Beverages,25-08-2023,275,906,1267,Rainy,334,3,1,0
1,Cream,Dairy,19-03-2024,494,697,3302,Sunny,489,3,1,1
17,Potato,Vegetables,24-08-2023,428,592,3248,Rainy,383,3,1,1
15,Yogurt,Dairy,11-06-2023,462,357,2179,Sunny,507,3,2,1
2,Carrot,Vegetables,03-12-2023,428,544,2539,Snowy,458,2,3,0
14,Water,Beverages,02-11-2023,257,267,2592,Cloudy,218,2,3,0
20,Tomato,Vegetables,07-09-2023,179,425,2035,Cloudy,196,3,2,0
17,Potato,Vegetables,04-03-2024,271,837,4388,Sunny,234,3,2,0
1,Cream,Dairy,10-09-2023,226,272,2099,Windy,201,3,2,0
12,Pepper,Vegetables,02-11-2023,132,890,4112,Rainy,127,3,3,1
10,Orange,Fruits,26-01-2024,223,787,2315,Snowy,216,1,2,1
2,Carrot,Vegetables,12-10-2023,291,803,4695,Snowy,342,1,3,0
6,Milk,Dairy,25-08-2023,126,785,2970,Sunny,110,3,2,1
19,Butter,Dairy,09-02-2024,320,248,1375,Rainy,364,2,3,0
12,Pepper,Vegetables,11-04-2024,393,205,4681,Snowy,406,3,2,1
4,Juice,Beverages,21-04-2024,422,262,3064,Windy,418,3,1,0
11,Coffee,Beverages,29-12-2023,200,982,4704,Windy,187,2,2,0
15,Yogurt,Dairy,22-09-2023,447,974,2737,Rainy,406,1,3,0
2,Carrot,Vegetables,03-01-2024,396,900,2060,Windy,411,3,3,0
12,Pepper,Vegetables,25-05-2023,484,201,2748,Sunny,474,3,1,1
14,Water,Beverages,01-06-2023,207,349,2614,Cloudy,228,1,3,1
8,Apple,Fruits,15-02-2024,291,611,2773,Sunny,311,2,1,1
6,Milk,Dairy,23-05-2023,156,258,4089,Sunny,151,2,2,0
15,Yogurt,Dairy,03-05-2023,296,755,3479,Sunny,285,2,1,1
1,Cream,Dairy,29-09-2023,428,898,4867,Windy,384,2,1,0
5,Grapes,Fruits,17-11-2023,475,640,1439,Sunny,463,2,2,0
11,Coffee,Beverages,21-10-2023,228,814,1403,Sunny,227,3,2,0
16,Cheese,Dairy,01-03-2024,482,845,1059,Snowy,462,3,2,1
3,Beer,Beverages,01-02-2024,387,545,4275,Sunny,415,1,3,1
6,Milk,Dairy,23-07-2023,479,595,1359,Cloudy,544,1,3,1
8,Apple,Fruits,01-06-2023,182,403,3739,Windy,173,3,1,0
20,Tomato,Vegetables,24-07-2023,245,952,1236,Windy,247,2,3,0
19,Butter,Dairy,13-12-2023,223,301,2723,Snowy,191,2,2,0
14,Water,Beverages,03-07-2023,383,722,2987,Snowy,412,1,3,0
14,Water,Beverages,13-07-2023,100,207,3713,Rainy,92,1,1,1
7,Cucumber,Vegetables,13-06-2023,211,366,2962,Cloudy,217,1,1,0
5,Grapes,Fruits,30-03-2024,191,981,4725,Rainy,178,3,1,1
7,Cucumber,Vegetables,27-01-2024,116,461,4624,Snowy,114,2,3,0
11,Coffee,Beverages,14-04-2024,457,735,1251,Snowy,499,3,3,1
5,Grapes,Fruits,22-10-2023,213,204,4679,Rainy,222,2,2,0
6,Milk,Dairy,17-01-2024,461,440,2549,Windy,486,2,1,1
9,Cherry,Fruits,15-06-2023,342,726,1676,Windy,338,3,1,1
19,Butter,Dairy,01-10-2023,405,454,1459,Windy,381,1,3,1
17,Potato,Vegetables,19-07-2023,374,294,4536,Windy,357,3,2,1
10,Orange,Fruits,16-05-2023,155,530,3156,Snowy,130,3,2,0
5,Grapes,Fruits,22-07-2023,197,444,4820,Cloudy,241,3,3,0
16,Cheese,Dairy,25-06-2023,304,280,3558,Cloudy,281,1,1,0
20,Tomato,Vegetables,15-07-2023,479,893,4489,Sunny,523,3,3,1
20,Tomato,Vegetables,23-09-2023,220,330,4226,Rainy,192,2,2,0
4,Juice,Beverages,28-11-2023,207,704,1837,Rainy,168,1,1,1
14,Water,Beverages,27-06-2023,426,965,1073,Rainy,447,1,2,0
2,Carrot,Vegetables,17-12-2023,467,391,4265,Snowy,426,3,1,0
8,Apple,Fruits,26-06-2023,314,364,4738,Sunny,231,1,2,1
17,Potato,Vegetables,04-10-2023,428,764,4668,Snowy,448,3,1,1
10,Orange,Fruits,19-01-2024,399,853,1504,Windy,419,3,2,1
1,Cream,Dairy,04-04-2024,137,206,4386,Snowy,132,3,2,1
3,Beer,Beverages,08-11-2023,178,923,2306,Cloudy,171,1,1,1
4,Juice,Beverages,02-09-2023,199,839,4226,Sunny,191,1,3,0
14,Water,Beverages,09-11-2023,313,303,3289,Cloudy,278,1,1,0
15,Yogurt,Dairy,01-01-2024,143,206,1909,Rainy,147,2,1,0
17,Potato,Vegetables,03-04-2024,225,678,2476,Windy,211,1,3,1
4,Juice,Beverages,26-11-2023,113,954,4246,Rainy,103,1,1,1
2,Carrot,Vegetables,25-04-2024,238,572,1063,Windy,239,1,3,1
1,Cream,Dairy,09-09-2023,497,724,1669,Sunny,592,1,2,0
8,Apple,Fruits,14-02-2024,237,900,1588,Rainy,252,2,3,0
5,Grapes,Fruits,31-08-2023,260,692,2278,Sunny,290,3,1,1
3,Beer,Beverages,01-09-2023,214,569,1011,Windy,219,2,1,1
6,Milk,Dairy,19-11-2023,331,819,1103,Cloudy,381,1,2,0
12,Pepper,Vegetables,03-04-2024,346,593,1886,Snowy,361,3,3,0
12,Pepper,Vegetables,20-12-2023,438,531,3361,Rainy,480,2,1,1
17,Potato,Vegetables,29-06-2023,332,986,4217,Sunny,332,3,2,0
9,Cherry,Fruits,24-09-2023,103,593,1123,Sunny,81,3,2,0
11,Coffee,Beverages,22-08-2023,394,406,3000,Rainy,409,3,2,1
19,Butter,Dairy,08-03-2024,449,949,3794,Snowy,501,3,3,1
5,Grapes,Fruits,25-05-2023,106,786,4499,Rainy,112,2,3,1
15,Yogurt,Dairy,01-06-2023,247,611,3035,Cloudy,236,2,2,1
13,Soda,Beverages,01-04-2024,426,978,1121,Windy,517,1,1,0
11,Coffee,Beverages,15-05-2023,391,809,4470,Snowy,394,1,3,1
19,Butter,Dairy,26-07-2023,103,524,2125,Snowy,99,3,2,0
12,Pepper,Vegetables,24-08-2023,483,313,3449,Windy,432,3,3,1
17,Potato,Vegetables,18-02-2024,423,483,1655,Windy,493,1,1,0
6,Milk,Dairy,21-10-2023,181,845,2619,Rainy,155,1,2,1
5,Grapes,Fruits,29-03-2024,206,954,2627,Sunny,228,2,1,1
11,Coffee,Beverages,05-03-2024,237,254,3952,Rainy,233,2,2,0
9,Cherry,Fruits,01-04-2024,116,761,4134,Cloudy,108,3,2,1
12,Pepper,Vegetables,25-10-2023,365,852,2112,Snowy,366,1,3,1
16,Cheese,Dairy,12-11-2023,145,902,3564,Cloudy,139,2,2,1
19,Butter,Dairy,13-04-2024,215,594,1198,Rainy,227,3,1,0
19,Butter,Dairy,11-11-2023,310,827,1454,Cloudy,335,2,1,1
20,Tomato,Vegetables,08-12-2023,194,364,3146,Windy,204,1,3,0
3,Beer,Beverages,18-01-2024,387,326,1387,Rainy,428,2,1,1
5,Grapes,Fruits,07-03-2024,220,570,1943,Windy,204,1,1,0
14,Water,Beverages,18-02-2024,245,623,4999,Cloudy,238,2,1,0
